y/h,y^+,U,u'u',v'v',w'w',-Om_z+,om_x'+,om_y'+,om_z'+,u'v',u'w',v'w',pr'+,ps'+,psto'+,p',k,dU/dy
0.099538866,92.965698,16.272709,1.9523299,1.0757058,1.3695667,0.025383603,0.09487471,0.086866722,0.086654529,-0.87484229,-0.0086819138,0.00055722514,1.2716053,2.0944166,0.054770675,2.5528207,2.1988012,0.025394204873290693
0.10312724,96.317108,16.35652,1.9432746,1.0753465,1.3633475,0.024635842,0.092970245,0.085192777,0.084986798,-0.87199634,-0.0085951034,0.00048650874,1.2622819,2.0770636,0.053875934,2.5317609,2.1909842999999998,0.02464430373523907
0.10677564,99.724586,16.439236,1.9346873,1.074762,1.3571192,0.023925258,0.091127731,0.08358115,0.083381072,-0.86904806,-0.008414505,0.0004139558,1.2531462,2.0598679,0.053017713,2.5109618,2.18328425,0.023933094570201874
0.11048389,103.18795,16.520922,1.9265094,1.0739771,1.3508776,0.023248689,0.089354225,0.082027569,0.081832968,-0.86600989,-0.0082247807,0.00035281529,1.2441808,2.0428042,0.052193586,2.4903953,2.17568205,0.023255376976036413
0.11425168,106.70693,16.601576,1.9186832,1.0730115,1.3446283,0.022601014,0.08765427,0.080529228,0.080335356,-0.86289543,-0.0080570718,0.00031493016,1.2353642,2.0258751,0.05140198,2.4700596,2.1681615,0.022607398271207835
0.11807871,110.28124,16.681248,1.91116,1.0718815,1.3383971,0.021980645,0.086014919,0.079084404,0.07888101,-0.85972542,-0.007888902,0.00030647931,1.2266858,2.0091164,0.050640766,2.449986,2.1607193,0.021986997254029195
0.12196481,113.91072,16.759932,1.9038713,1.0706005,1.3321863,0.021388365,0.084429622,0.077690974,0.077479862,-0.85649282,-0.0077157067,0.0003169991,1.2181307,1.9925669,0.049908649,2.430198,2.15332905,0.021395525024896056
0.12590957,117.59498,16.837698,1.8967645,1.0691868,1.3260094,0.020828938,0.082895353,0.076343723,0.076136395,-0.85318118,-0.0075860233,0.0003406688,1.2096934,1.9762582,0.049203739,2.4107137,2.14598035,0.020835509555572784
0.12991297,121.33401,16.91457,1.8898128,1.0676564,1.319872,0.020300295,0.081414409,0.075040005,0.07483419,-0.84977156,-0.0075246729,0.00037853853,1.2013613,1.9602329,0.048524968,2.3915517,2.1386706,0.02030649974458898
0.13397455,125.12738,16.990627,1.8829855,1.0660267,1.3137797,0.019801047,0.079989627,0.073777795,0.073576771,-0.84625208,-0.0075330175,0.00042151235,1.1931283,1.9445176,0.047870655,2.3727248,2.13139595,0.01980586469514689
0.13809412,128.97491,17.065878,1.876249,1.0643084,1.3077626,0.019322809,0.078623243,0.072554968,0.072348796,-0.84261823,-0.0075883116,0.00045799726,1.1849805,1.9290745,0.047239915,2.3541925,2.1241600000000003,0.01932699424140827
0.1422714,132.87634,17.140366,1.8695965,1.0625101,1.3018793,0.018863199,0.077305868,0.071370333,0.071152255,-0.83889848,-0.0076599373,0.00048721133,1.1769128,1.9138526,0.046631243,2.335912,2.11699295,0.018867466669263866
0.14650595,136.83125,17.214083,1.8630224,1.0606333,1.2961333,0.01842179,0.076023743,0.070222482,0.069999509,-0.83511639,-0.0077343429,0.000513918,1.1689134,1.8988292,0.04604391,2.3178611,2.1098945,0.01842605084335558
0.15079785,140.83974,17.287077,1.8565091,1.0586822,1.2904816,0.017998144,0.074781708,0.069109991,0.068890184,-0.8312881,-0.0077804048,0.00054236286,1.1609796,1.8839936,0.045476563,2.3000259,2.10283645,0.018001126625290187
0.15514637,144.90109,17.359327,1.8500296,1.0566566,1.2848988,0.017587377,0.073579676,0.068030685,0.067808807,-0.8274135,-0.0077534802,0.00057831325,1.1531018,1.8693197,0.044928607,2.2823694,2.0957925,0.0175906928091778
0.15955162,149.01544,17.430872,1.8435681,1.054563,1.2794051,0.017191363,0.072405055,0.066982158,0.06675908,-0.82349151,-0.0076425178,0.00060768519,1.1452796,1.854809,0.044398807,2.2648885,2.0887681,0.01719501438412907
0.16401303,153.18224,17.501701,1.8370984,1.0524087,1.2739666,0.01681284,0.071271762,0.06596262,0.065742277,-0.81949627,-0.007512209,0.00061878341,1.1375064,1.8404909,0.043886684,2.2476106,2.08173685,0.016816987677938933
0.16853035,157.40125,17.571877,1.8306093,1.0502043,1.2685535,0.016452432,0.070182271,0.064969756,0.064745031,-0.81541193,-0.00742624,0.00059940736,1.1297827,1.8263869,0.043391112,2.2305639,2.07468355,0.016456369116592207
0.17310346,161.67236,17.641399,1.8240666,1.0479504,1.2631787,0.016109472,0.06912446,0.064002283,0.063779771,-0.81121802,-0.0073873205,0.00054615538,1.1221002,1.8124623,0.042911701,2.2137179,2.0675978500000003,0.016111788662914073
0.17773175,165.99503,17.710321,1.8174744,1.0456499,1.2578568,0.01577696,0.06809137,0.063060671,0.062841028,-0.80692136,-0.0073709409,0.0004618986,1.114458,1.7986864,0.042447425,2.1970515,2.06049055,0.01577864145710617
0.18241519,170.36919,17.778606,1.8108375,1.0433019,1.2525678,0.015450267,0.067090787,0.062145174,0.061921194,-0.80253369,-0.0073861796,0.00035632562,1.1068479,1.7850735,0.041997973,2.1805739,2.0533536000000003,0.015452191705132456
0.18715334,174.79445,17.846275,1.8041492,1.0409083,1.2473124,0.015131129,0.066124693,0.061255686,0.061030377,-0.79808098,-0.0074448972,0.00025475791,1.0992721,1.7716479,0.04156239,2.1643009,2.04618495,0.015133329652429417
0.19194585,179.27048,17.913296,1.7974231,1.0384643,1.2421076,0.014821337,0.065182328,0.060390621,0.060162038,-0.79357851,-0.0075208694,0.00017854071,1.0917267,1.7584125,0.041140445,2.1482224,2.0389975,0.014824273518160958
0.19679248,183.79706,17.979717,1.7906669,1.0359709,1.2369647,0.014524526,0.064266808,0.05954745,0.059314355,-0.78901935,-0.0075901062,0.00013996352,1.084216,1.7453996,0.040731244,2.1323626,2.03180125,0.014526782279604467
0.20169282,188.37379,18.045523,1.7838628,1.0334263,1.2318771,0.014237296,0.063377097,0.05872371,0.05848255,-0.78438997,-0.0076277996,0.00013353107,1.0767362,1.7325929,0.04033462,2.1167054,2.0245831,0.014240176698034901
0.20664668,193.00052,18.110762,1.7770038,1.0308341,1.226838,0.013962776,0.062511899,0.05792034,0.057667628,-0.77969015,-0.0076069403,0.00014635915,1.0692916,1.7199754,0.039949741,2.1012435,2.01733795,0.013966073932823564
0.21165359,197.67679,18.175436,1.7700708,1.0281916,1.2218233,0.013704845,0.061663657,0.057137351,0.056886602,-0.7749086,-0.0075061857,0.0001580872,1.0618771,1.7075365,0.039576482,2.0859652,2.01004285,0.013707589390582475
0.21671325,202.40233,18.239626,1.763068,1.0254976,1.2168263,0.01346019,0.060832806,0.056373466,0.056141466,-0.77005404,-0.0073341159,0.00015555562,1.0544933,1.6952355,0.039214067,2.0708296,2.00269595,0.013461795491568562
0.22182537,207.17686,18.303312,1.7560029,1.0227441,1.2118237,0.01322218,0.060024209,0.055627231,0.055416763,-0.76511943,-0.0070915916,0.00014291765,1.0471311,1.6829993,0.038862422,2.0557661,1.99528535,0.013223068615560107
0.22698957,212.00005,18.366526,1.7489038,1.0199271,1.2068473,0.01298686,0.059228834,0.054897901,0.054690287,-0.76010591,-0.0068073226,0.00012373528,1.0397899,1.6707622,0.038520809,2.0407221,1.9878391,0.012988699580095187
0.23220552,216.87155,18.429222,1.7417667,1.0170463,1.201893,0.012758148,0.058440927,0.054184988,0.053974926,-0.75501221,-0.0065301731,9.8631303e-05,1.0324627,1.6585163,0.038189199,2.0256953,1.980353,0.012759362697137178
0.23747283,221.79103,18.491442,1.7345893,1.0141151,1.1969099,0.012534169,0.057676353,0.053487089,0.053283058,-0.74986368,-0.0062970836,7.755425e-05,1.0251515,1.6462952,0.037866887,2.0107317,1.97280715,0.012535088930170302
0.24279118,226.75818,18.553141,1.7273773,1.0111439,1.191875,0.012312747,0.056932859,0.05280358,0.052605689,-0.74468702,-0.0061069843,5.8338617e-05,1.0178508,1.6341377,0.037553884,1.9958761,1.9651981,0.012314006054414683
0.24816025,231.77269,18.614346,1.7201267,1.0081468,1.1868134,0.012095874,0.056206122,0.052134775,0.051935703,-0.73948354,-0.005978208,4.255983e-05,1.0105648,1.6220974,0.037249517,1.9811831,1.9575434500000002,0.012097231362808492
